Address,Total_Gas,Total_Tx,Use_Chains,Wallet_Age,Pass_ThreeMoney,Active_Days
0x6c2e52ef17cc998e0720aa8da5a5bd405de5c99f,4.463518168102434162,148,1,1,false,13
0x3a3ce1a0f6f430c5b47b1090392d0a4c267b2e91,7.886160820391347536,190,1,1,false,16
0x3ba3f9fcc46883c3d19ab558dee4a9b2f99d543e,8.654303305337384782,163,1,1,false,14
0x736f973919d750975d89a9728ea30cf6a516bc92,7.836098508341262001,198,1,1,false,17
0x5bac807ad3d6c276a0ae74c665ea4b54b6c359da,7.116482130795353054,185,1,1,false,18
0x7df51261896f736fef7141b9627ebbf3f69094dc,5.327010706680476987,196,1,1,false,14
0x2fa218255a70198f12a720cc420cde66dcd4e74c,6.982619679157059821,187,1,1,false,16
0x1d80e2b8bbb6ddfdb1622b91d2bf3020aea767fa,4.185043672774607686,190,1,1,false,16
0x7095b03f612b12aa5c0dd7069fe30d91a99648c9,8.849080834191506664,143,1,1,false,15
0xfab4c605a16d587b0dbdc3e1df4db740a8653a2f,3.749018344407594328,184,1,1,false,14
0x929cc7dcc10b498be8b6cf4820baa111bddb34f1,8.233342015755771533,166,1,1,false,21
0x6a5370665c82454fbd6f30935636c6e1d4164c75,9.040231798517510474,197,1,1,false,16
0xf89a5649c49677890aabbcdcdb21354220bf887f,2.894161242729839953,190,1,1,false,17
0xf33ff51a1db36db38c4c608f62964f73e5e06aed,3.909968887184544299,155,1,1,false,19
0xd132dfca1eda6a6e45922b63442bed67163807ae,8.437739835398064829,167,1,1,false,16
0x79093da9706a38fbf7f8b126ca2cb37dda6cb406,8.337950077204280909,180,1,1,false,18
0x54d97b623d4bbcf17675e7fc517f910d4a8cf99c,7.683294614690130842,167,1,1,false,17
0x5c0413dd0130730bf4d21b4ad785655a174454e5,7.463505868988290895,173,1,1,false,21
0x12e1a07f7d84e7180c4d857d81cc0b6fd51f7f19,9.080434407474839826,174,1,1,false,18
0x713b2f91e905458b0dd214e15aec18cea2cee9fc,3.738335808877393497,191,1,1,false,16
0xf78d62025fbad077e22aad7d9321ef32edbbb232,4.262937546945947462,196,1,1,false,13
0x14a6cc86034fce270a50b9f768c42ac0d4a67600,4.473621587404216566,183,1,1,false,17
0xe5a18219c6753ab2348e1ec6129c1d45170f5e1b,3.114826417199382609,178,1,1,false,19
0x625e7a98673c5ba8a7c653df6eef35b146e804c2,7.527689149612641206,176,1,1,false,16
0x19a338f337ebc9c959a6aa6d05abf27871b7b52f,4.220092486938377471,171,1,1,false,20
0x3c870c531fccc81ced4bfef56307425b2bc05984,5.911128366998426767,186,1,1,false,14
0xb92dec9ed35f960a2c9f3ed37d7e8b8f29ec8c59,5.63486598931656494,149,1,1,false,14
0xbdbd49ff52b2bd813e0208c4639398cd905f9707,5.802109408688169211,166,1,1,false,18
0x8dd696dadcce688e754f1b274e9b659c31ed37f2,8.380004231946798106,175,1,1,false,17
0x11dc7e664541bd4f5a5970f804c51fa69314e734,8.891612701618584095,192,1,1,false,16
0x9e82c341740508f1ae48116776e97435e7f6c8da,5.46615496442013117,158,1,1,false,15
