Address,Total_Gas,Total_Tx,Use_Chains,Wallet_Age
0x9e82c341740508f1ae48116776e97435e7f6c8da,5.46615496442013117,158,1,1
0xf87425810a89e598055884c1a76c13e05f78f3ed,9.191775786785493696,158,1,1
0x3ba3f9fcc46883c3d19ab558dee4a9b2f99d543e,8.654303305337384782,163,1,1
0x7095b03f612b12aa5c0dd7069fe30d91a99648c9,8.849080834191506664,143,1,1
0x33c36c09ec44163266da19542002f7afe4a4dc99,9.947040040116470975,193,1,1
0x96e3d0eb679bc6bc1e18f19fad0c1874ae6e495f,9.647188331313159735,178,1,1
0x8d6c578b04bbd1b7b797e519177fc9dcbd36d9fa,9.518305161838598806,187,1,1
0xf87425810a89e598055884c1a76c13e05f78f3ed,9.191775786785493696,158,1,1
0x62b0d98601cd44cd2194362f2fd88535774ab779,7.386385292868518127,172,1,1
0x96e3d0eb679bc6bc1e18f19fad0c1874ae6e495f,9.647188331313159735,178,1,1
0x8718b31a70b9a5303522ca107260859a5845ad3b,8.013203060312129962,175,1,1
0x11dc7e664541bd4f5a5970f804c51fa69314e734,8.891612701618584095,192,1,1
0x1d80e2b8bbb6ddfdb1622b91d2bf3020aea767fa,4.185043672774607686,190,1,1
0xea41270189a83978c8fae70eccb84a8fe3dd3b59,8.101932833101363273,187,1,1
0xed07dfa137a5ef82537b71637039b3997c943f34,9.798460292058382304,173,1,1
0x8718b31a70b9a5303522ca107260859a5845ad3b,8.013203060312129962,175,1,1
0x62b0d98601cd44cd2194362f2fd88535774ab779,7.386385292868518127,172,1,1
0x3a3ce1a0f6f430c5b47b1090392d0a4c267b2e91,7.886160820391347536,190,1,1
0x8d6c578b04bbd1b7b797e519177fc9dcbd36d9fa,9.518305161838598806,187,1,1
0x8718b31a70b9a5303522ca107260859a5845ad3b,8.013203060312129962,175,1,1
0x6c2e52ef17cc998e0720aa8da5a5bd405de5c99f,4.463518168102434162,148,1,1
0x476592d59550f2bb66d4971034970042b1f1a980,4.586683267476042186,160,1,1
